"","STATE","COUNTY","cases","lat","lon","check"
"160","FL","SARASOTA",9,27.143931,-82.404959,"SARASOTA"
"161","FL","SEMINOLE",4,28.666625,-81.365039,"SEMINOLE"
"162","FL","ST. JOHNS",2,29.937673,-81.420603,"ST. JOHNS"
"163","FL","ST. LUCIE",3,27.412128,-80.534169,"ST. LUCIE"
"164","FL","VOLUSIA",5,29.200508,-81.406458,"VOLUSIA"
"165","GA","BALDWIN",3,30.763492,-87.756371,"BALDWIN"
"166","GA","BANKS",1,34.393713,-83.473886,"BANKS"
"167","GA","BARROW",1,34.019109,-83.826094,"BARROW"
"168","GA","BERRIEN",1,31.383968,-83.221348,"BERRIEN"
"169","GA","BIBB",2,32.989499,-87.220392,"BIBB"
"170","GA","BULLOCH",1,32.352307,-81.6571,"BULLOCH"
"171","GA","BUTTS",1,33.237156,-83.898277,"BUTTS"
"172","GA","CAMDEN",1,30.804684,-81.627717,"CAMDEN"
"173","GA","CHARLTON",1,30.855314,-82.027252,"CHARLTON"
"174","GA","CLAYTON",2,33.518505,-84.337523,"CLAYTON"
"175","GA","COBB",9,33.912473,-84.557181,"COBB"
"176","GA","COLQUITT",1,31.080682,-83.649138,"COLQUITT"
"177","GA","COLUMBIA",2,33.112106,-93.203998,"COLUMBIA"
"178","GA","COWETA",1,33.275619,-84.741266,"COWETA"
"179","GA","DE KALB",4,34.337295,-85.85769,"DE KALB"
"180","GA","DOUGHERTY",1,31.560674,-84.176751,"DOUGHERTY"
"181","GA","DOUGLAS",1,39.374779,-104.849988,"DOUGLAS"
"182","GA","FAYETTE",1,33.712675,-87.774117,"FAYETTE"
"183","GA","FULTON",1,36.374704,-91.804608,"FULTON"
"184","GA","GORDON",1,34.462493,-84.743027,"GORDON"
"185","GA","GWINNETT",5,33.960353,-84.037859,"GWINNETT"
"186","GA","HABERSHAM",1,34.50429,-83.594758,"HABERSHAM"
"187","GA","HALL",1,34.334398,-83.837912,"HALL"
"188","GA","HARALSON",1,33.767997,-85.172928,"HARALSON"
"189","GA","HENRY",1,31.559402,-85.222965,"HENRY"
"190","GA","JEFFERSON",2,33.578097,-86.987228,"JEFFERSON"
"191","GA","LAMAR",1,33.950211,-88.018981,"LAMAR"
"192","GA","LAURENS",1,32.50631,-82.713743,"LAURENS"
"193","GA","MORGAN",1,34.549833,-86.995551,"MORGAN"
"194","GA","MUSCOGEE",2,32.563874,-84.991501,"MUSCOGEE"
"195","GA","OCONEE",1,33.805718,-83.48171,"OCONEE"
"196","GA","OGLETHORPE",1,33.888662,-83.222254,"OGLETHORPE"
"197","GA","RICHMOND",1,33.359709,-82.198897,"RICHMOND"
"198","GA","SPALDING",2,33.278205,-84.288803,"SPALDING"
"199","GA","TIFT",1,31.44172,-83.503715,"TIFT"
"200","GA","TROUP",1,33.144151,-84.960566,"TROUP"
"201","GA","WALKER",1,33.804411,-87.202136,"WALKER"
"202","GA","WHITE",1,35.331399,-91.520754,"WHITE"
"203","GA","WHITFIELD",1,34.867821,-84.919498,"WHITFIELD"
"204","HI","HAWAII",1,19.269226,-155.757929,"HAWAII"
"205","HI","HONOLULU",6,21.39065,-157.927829,"HONOLULU"
"206","HI","MAUI",2,20.849675,-156.165622,"MAUI"
"207","IA","BLACK HAWK",2,42.517091,-92.43585,"BLACK HAWK"
"208","IA","BOONE",1,36.295086,-93.092861,"BOONE"
